what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1448109083466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1448109120209
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448109121301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109122955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109123783
executed,command,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.shortcut.testngSuite.run",1448109128450
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448109130217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109133634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109137752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109150311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109194928
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448109200379
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1448109200527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109209672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109232524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109236220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109253662
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448109253687
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1448109265123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109284192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109288154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109294727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109298547
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448109303588
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448109307004
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448109312304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109313390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448109319911
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1448109322195
